sentiment,labels
maksudnya skenario rezim menunda mengupayakan,negative
pilkada pemilu rame doain ulama selesai ulama rame dikriminalisasi ditangkapi iya nanya bolehkan,neutral
semoga real pilpres utk keunggulan amin,positive
pendukung anies ya gini pengen junjungannya jd presiden dunia angel angel,negative
lengkap sepotong inti pembicaraan ketegasan presiden membela golongan pemenang pilpres ketegasan memimpin negara presiden berlawanan pilpres,neutral
pilpres inj yg sebar hoax manakoq,negative
oh partai dukung capres ora menang,negative
relawan bertambah dukungansemoga jafi doa masyarakat menguatkan dukungan pilpres,positive
top markotop good job mr president ri,positive
ngaca capres gubernur,negative
cocok bgt jdi presiden tpi d medsos aja,negative
mutasi bandar pilpres diganggu,negative
prabowo presidenpara kader aminnoposisipun keceewa,neutral
please semoga bu susi maju pilpres,positive
jgn sok plg hebat blm resmi jd capres sdh nyerang kanan kiriingat bs jd gubernur jasa diusung jgn jd kacang lupa kulitnya,negative
klo daerahku org familiar dgn gak kenal ganjar efek pilpres kmren org kmpung menyimpan memori capres lawan jokowi kmren klo pilpres lg pilih prabowo katanyasemoga ato psg capres cwpr,neutral
kau bilang pokoknya yg terpilih presiden orang jawa,neutral
brengsek presiden,negative
salah pilih capres berpengaruh coattail effect alias efek ekor jas diharapkan parpol menjaga ritme menjelang pilpres sembari mencari peluang selebihnya silakan baca majalah gatra edisi terbaru,neutral
pa ga bilang periode melanggar konstitusi konstitusi diubah periode setuju amp capres setuju pemilu ditunda pemilu pilpres ngomong gitu susah banget pa,neutral
menangkan anies presiden nkri,positive
si anis jd penonton kontestasi pencapresan endgame nis,negative
ganjar sosok merakyat semoga jalannya mulus pilpres,positive
capres sibuk kampanyekan presiden diganti partainya anies kayak santai aja berkerja kemajuan kotanya,neutral
gubernur jateng mendukung arahan presiden bangga produk buatan negeri aspek salah satunya membeli produk produk negeri,positive
selamat ganjar dg tingginya elektabilitas semoga langkah memenangkan pilpres nnti,positive
semoga aja pilpres aman terkendali aamiin,positive
jagoan pilpres semoga mnjadi jagoan,positive
anjriit lg yg diblock sm buzzermu yg ngeblock kalah berargumentasi presiden kalo memelihara buzzer yg lemot nalarnya,negative
selamat sukses peluncuran sistem informasi penanganan pelanggaran pemilu pelaporan sigaplapor bawaslu ri,neutral
negara negara pancasila aja memalukan negara pancasila capres nya doyan bokep,negative
masyarakat cerdas memilah memilih tindakan memenangkan ego,neutral
masyaallahsemoga beliau presiden yah aamiin,positive
anies ga ngomong jd presiden lo yg klaim plagiat lo,negative
pernyataan sikap milenials purwakarta relawan beraksi jabar dukung anies baswedan maju pilpres,neutral
